p-0,60,X,10
ab,50,X,27
p-1,60,X,28
ab-a,50,Z,45
ab-p,50,Z,45
ems,60,X,49
p-2,60,X,52
ab-al,50,X,60
ab-ar,50,X,60
ab-pl,50,X,60
ab-pr,50,X,65
ms,50,X,68
e,50,X,68
c,50,X,80
ab-ala,50,X,78
ab-alp,50,X,78
ab-ara,50,X,85
ab-arp,50,X,78
ab-pla,50,X,85
ab-plp,50,X,77
ab-pra,50,X,85
ab-prp,50,X,85
p-3,50,X,78
ms-a,50,X,95
ms-p,50,X,95
